timestamp,acc_x,acc_y,acc_z
26080,0.4078,-0.3358,0.8655
26193,0.4067,-0.3358,0.8668
26209,0.4066,-0.3358,0.8669
26231,0.4066,-0.3358,0.8669
26250,0.4065,-0.3357,0.8669
26275,0.4065,-0.3356,0.8667
26292,0.4065,-0.3356,0.8665
26314,0.4065,-0.3356,0.8662
26356,0.4067,-0.3354,0.8652
26378,0.4069,-0.3354,0.8649
26416,0.4070,-0.3353,0.8635
26437,0.4070,-0.3353,0.8632
26459,0.4070,-0.3353,0.8627
26482,0.4070,-0.3353,0.8618
26499,0.4070,-0.3353,0.8613
26521,0.4070,-0.3353,0.8610
26555,0.4070,-0.3352,0.8601
26577,0.4070,-0.3352,0.8597
26594,0.4069,-0.3352,0.8594
26617,0.4069,-0.3352,0.8586
26634,0.4069,-0.3352,0.8583
26658,0.4069,-0.3352,0.8579
26681,0.4070,-0.3352,0.8573
26701,0.4070,-0.3353,0.8569
26745,0.4071,-0.3354,0.8562
26767,0.4071,-0.3354,0.8560
26792,0.4070,-0.3354,0.8557
26814,0.4069,-0.3354,0.8556
26836,0.4069,-0.3354,0.8555
26853,0.4067,-0.3354,0.8553
26876,0.4066,-0.3353,0.8552
26898,0.4065,-0.3353,0.8552
26917,0.4065,-0.3352,0.8551
26940,0.4064,-0.3351,0.8550
26960,0.4064,-0.3351,0.8550
26994,0.4064,-0.3348,0.8549
27015,0.4064,-0.3348,0.8547
27032,0.4065,-0.3347,0.8547
27055,0.4065,-0.3347,0.8546
27077,0.4066,-0.3346,0.8546
27100,0.4067,-0.3346,0.8545
27125,0.4069,-0.3345,0.8545
27147,0.4070,-0.3345,0.8544
27216,0.4072,-0.3345,0.8542
27236,0.4073,-0.3346,0.8542
27258,0.4073,-0.3347,0.8541
27278,0.4075,-0.3347,0.8541
27295,0.4075,-0.3348,0.8541
27320,0.4075,-0.3351,0.8541
27337,0.4075,-0.3351,0.8542
27378,0.4075,-0.3353,0.8544
27401,0.4075,-0.3356,0.8547
27418,0.4075,-0.3357,0.8550
27440,0.4075,-0.3358,0.8552
27460,0.4073,-0.3361,0.8556
27485,0.4072,-0.3363,0.8561
27507,0.4071,-0.3364,0.8564
27532,0.4070,-0.3365,0.8569
27572,0.4067,-0.3367,0.8572
27595,0.4066,-0.3367,0.8573
27622,0.4066,-0.3367,0.8573
27645,0.4066,-0.3367,0.8572
27667,0.4067,-0.3365,0.8569
27691,0.4067,-0.3365,0.8568
27714,0.4069,-0.3364,0.8563
27738,0.4070,-0.3363,0.8561
27772,0.4071,-0.3362,0.8556
27795,0.4073,-0.3361,0.8551
27812,0.4073,-0.3359,0.8547
27834,0.4075,-0.3358,0.8545
27857,0.4076,-0.3358,0.8541
27874,0.4076,-0.3357,0.8540
27896,0.4077,-0.3357,0.8538
27924,0.4077,-0.3356,0.8535
27967,0.4078,-0.3356,0.8534
27989,0.4078,-0.3356,0.8534
28006,0.4078,-0.3354,0.8533
28028,0.4077,-0.3354,0.8533
28050,0.4077,-0.3354,0.8533
28067,0.4077,-0.3353,0.8533
28089,0.4076,-0.3353,0.8533
28111,0.4076,-0.3352,0.8534
28129,0.4075,-0.3352,0.8534
28147,0.4075,-0.3351,0.8534
28169,0.4073,-0.3350,0.8535
28246,0.4073,-0.3347,0.8539
28264,0.4073,-0.3347,0.8541
28288,0.4073,-0.3347,0.8542
28310,0.4073,-0.3347,0.8544
28331,0.4073,-0.3347,0.8549
28348,0.4073,-0.3348,0.8551
28370,0.4073,-0.3348,0.8553
28410,0.4073,-0.3351,0.8561
28429,0.4073,-0.3352,0.8569
28457,0.4072,-0.3353,0.8573
28478,0.4072,-0.3356,0.8579
28501,0.4071,-0.3357,0.8583
28525,0.4071,-0.3357,0.8585
28550,0.4070,-0.3358,0.8588
28571,0.4070,-0.3358,0.8589
28610,0.4070,-0.3359,0.8588
28632,0.4070,-0.3359,0.8586
28649,0.4070,-0.3359,0.8585
28671,0.4070,-0.3359,0.8583
28694,0.4071,-0.3359,0.8578
28711,0.4071,-0.3359,0.8575
28733,0.4072,-0.3361,0.8573
28758,0.4072,-0.3359,0.8567
28792,0.4073,-0.3359,0.8561
28814,0.4073,-0.3359,0.8558
28831,0.4075,-0.3359,0.8556
28854,0.4075,-0.3359,0.8551
28874,0.4075,-0.3358,0.8549
28898,0.4075,-0.3358,0.8546
28921,0.4076,-0.3358,0.8544
28943,0.4076,-0.3358,0.8542
28986,0.4076,-0.3357,0.8540
29007,0.4076,-0.3357,0.8539
29024,0.4076,-0.3356,0.8539
29046,0.4075,-0.3356,0.8539
29068,0.4075,-0.3354,0.8540
29085,0.4073,-0.3353,0.8540
29107,0.4073,-0.3352,0.8541
29129,0.4072,-0.3352,0.8542
29146,0.4072,-0.3351,0.8544
29163,0.4071,-0.3351,0.8545
29187,0.4071,-0.3350,0.8547
29263,0.4069,-0.3350,0.8552
29286,0.4069,-0.3350,0.8552
