timestamp,acc_x,acc_y,acc_z
43306,-0.0887,-0.8544,0.4575
43440,-0.0875,-0.8499,0.4427
43450,-0.0874,-0.8499,0.4431
43466,-0.0873,-0.8501,0.4445
43493,-0.0870,-0.8507,0.4474
43515,-0.0868,-0.8514,0.4504
43525,-0.0868,-0.8517,0.4513
43541,-0.0868,-0.8521,0.4526
43557,-0.0869,-0.8523,0.4532
43593,-0.0872,-0.8521,0.4524
43609,-0.0873,-0.8516,0.4513
43640,-0.0875,-0.8506,0.4485
43650,-0.0875,-0.8505,0.4480
43666,-0.0875,-0.8501,0.4473
43682,-0.0875,-0.8499,0.4471
43698,-0.0875,-0.8499,0.4475
43716,-0.0875,-0.8501,0.4484
43726,-0.0874,-0.8506,0.4496
43737,-0.0874,-0.8507,0.4502
43753,-0.0873,-0.8512,0.4515
43769,-0.0872,-0.8516,0.4528
43797,-0.0870,-0.8519,0.4539
43815,-0.0868,-0.8523,0.4539
43832,-0.0863,-0.8527,0.4532
43847,-0.0859,-0.8529,0.4528
43863,-0.0853,-0.8534,0.4517
43879,-0.0845,-0.8540,0.4504
43895,-0.0834,-0.8547,0.4493
43905,-0.0829,-0.8552,0.4486
43944,-0.0804,-0.8568,0.4487
43954,-0.0801,-0.8571,0.4496
43990,-0.0801,-0.8572,0.4528
44004,-0.0811,-0.8569,0.4551
44019,-0.0818,-0.8568,0.4563
44037,-0.0840,-0.8572,0.4609
44051,-0.0847,-0.8577,0.4626
44068,-0.0863,-0.8586,0.4664
44079,-0.0879,-0.8595,0.4706
44095,-0.0897,-0.8601,0.4750
44105,-0.0907,-0.8602,0.4772
44121,-0.0925,-0.8606,0.4810
44130,-0.0933,-0.8608,0.4824
44146,-0.0945,-0.8615,0.4841
44156,-0.0948,-0.8619,0.4843
44185,-0.0956,-0.8643,0.4774
44201,-0.0963,-0.8647,0.4692
44217,-0.0979,-0.8639,0.4581
44254,-0.1042,-0.8567,0.4305
44270,-0.1089,-0.8508,0.4166
44288,-0.1139,-0.8441,0.4047
44304,-0.1190,-0.8375,0.3959
44320,-0.1240,-0.8318,0.3910
44334,-0.1292,-0.8274,0.3903
44352,-0.1345,-0.8245,0.3934
44363,-0.1372,-0.8235,0.3964
44379,-0.1427,-0.8221,0.4044
44395,-0.1479,-0.8210,0.4153
44450,-0.1594,-0.8132,0.4650
44466,-0.1595,-0.8107,0.4794
44476,-0.1589,-0.8098,0.4861
44492,-0.1565,-0.8091,0.4979
44508,-0.1522,-0.8103,0.5071
44524,-0.1459,-0.8134,0.5133
