sys_ms,acc_x,acc_y,acc_z
32753,0.5023,-0.6989,0.5322
32857,0.5020,-0.6986,0.5327
32874,0.5017,-0.6985,0.5328
32897,0.5016,-0.6985,0.5330
32919,0.5012,-0.6985,0.5332
32936,0.5011,-0.6985,0.5332
32958,0.5009,-0.6985,0.5333
32976,0.5007,-0.6985,0.5334
33016,0.5004,-0.6986,0.5337
33038,0.5000,-0.6986,0.5337
33065,0.4999,-0.6986,0.5338
33087,0.4996,-0.6987,0.5338
33108,0.4995,-0.6987,0.5339
33125,0.4994,-0.6989,0.5339
33147,0.4994,-0.6989,0.5339
33171,0.4993,-0.6991,0.5338
33206,0.4994,-0.6995,0.5338
33224,0.4995,-0.6996,0.5337
33248,0.5000,-0.7000,0.5333
33270,0.5005,-0.7000,0.5331
33293,0.5011,-0.7000,0.5326
33310,0.5018,-0.6996,0.5320
33332,0.5034,-0.6982,0.5304
33355,0.5042,-0.6974,0.5293
33372,0.5045,-0.6965,0.5280
33408,0.5032,-0.6959,0.5237
33431,0.4983,-0.6985,0.5165
33448,0.4946,-0.7008,0.5120
33471,0.4906,-0.7030,0.5071
33493,0.4873,-0.7041,0.5023
33510,0.4854,-0.7030,0.4984
33531,0.4872,-0.6904,0.4948
33552,0.4915,-0.6776,0.4958
33576,0.4979,-0.6598,0.4990
33593,0.5172,-0.6082,0.5107
33615,0.5298,-0.5743,0.5189
33663,0.5753,-0.4481,0.5525
33684,0.5916,-0.4012,0.5663
33708,0.6234,-0.3080,0.5961
33730,0.6384,-0.2643,0.6116
33753,0.6522,-0.2244,0.6272
33770,0.6646,-0.1892,0.6431
33788,0.6750,-0.1595,0.6588
33810,0.6896,-0.1176,0.6901
33870,0.6895,-0.0929,0.7378
33895,0.6731,-0.0929,0.7705
33918,0.6605,-0.0951,0.7866
33940,0.6288,-0.1002,0.8174
33957,0.6104,-0.1021,0.8318
33984,0.5908,-0.1034,0.8452
34002,0.5707,-0.1046,0.8577
34055,0.4901,-0.1191,0.8953
34074,0.4716,-0.1265,0.9014
34091,0.4543,-0.1350,0.9062
34111,0.4386,-0.1447,0.9098
34133,0.4244,-0.1552,0.9122
34150,0.4122,-0.1665,0.9136
34172,0.3931,-0.1904,0.9135
34197,0.3864,-0.2026,0.9124
34238,0.3761,-0.2374,0.9058
34261,0.3756,-0.2479,0.9031
34282,0.3765,-0.2576,0.9001
34304,0.3810,-0.2739,0.8944
34327,0.3844,-0.2806,0.8917
34344,0.3883,-0.2861,0.8892
34366,0.3927,-0.2908,0.8868
34388,0.4017,-0.2968,0.8832
34431,0.4105,-0.2990,0.8806
34454,0.4183,-0.2982,0.8793
34471,0.4218,-0.2969,0.8790
34494,0.4246,-0.2952,0.8790
34516,0.4291,-0.2906,0.8796
34533,0.4305,-0.2881,0.8802
34556,0.4316,-0.2855,0.8809
34590,0.4326,-0.2803,0.8824
34626,0.4323,-0.2756,0.8842
34648,0.4308,-0.2716,0.8856
34665,0.4299,-0.2700,0.8864
34688,0.4288,-0.2687,0.8870
34710,0.4276,-0.2676,0.8876
34727,0.4265,-0.2668,0.8881
34749,0.4241,-0.2660,0.8887
34768,0.4231,-0.2659,0.8889
34798,0.4211,-0.2661,0.8890
34816,0.4203,-0.2665,0.8890
34839,0.4196,-0.2670,0.8890
34896,0.4180,-0.2694,0.8884
34921,0.4178,-0.2700,0.8883
34944,0.4178,-0.2712,0.8879
34967,0.4180,-0.2719,0.8877
34991,0.4182,-0.2723,0.8876
35013,0.4187,-0.2732,0.8873
35035,0.4189,-0.2734,0.8872
35079,0.4199,-0.2740,0.8871
35100,0.4202,-0.2742,0.8871
35117,0.4204,-0.2743,0.8871
35138,0.4207,-0.2743,0.8872
35158,0.4210,-0.2744,0.8873
35175,0.4213,-0.2745,0.8873
35198,0.4213,-0.2747,0.8875
35216,0.4214,-0.2747,0.8875
35234,0.4215,-0.2748,0.8876
35267,0.4215,-0.2749,0.8877
35290,0.4215,-0.2750,0.8877
35307,0.4214,-0.2751,0.8878
35330,0.4214,-0.2751,0.8878
35352,0.4213,-0.2751,0.8878
35369,0.4211,-0.2751,0.8878
35391,0.4210,-0.2750,0.8878
35414,0.4209,-0.2749,0.8878
35457,0.4207,-0.2745,0.8878
35480,0.4207,-0.2743,0.8878
35497,0.4205,-0.2742,0.8878
35517,0.4205,-0.2739,0.8878
35539,0.4204,-0.2734,0.8877
35564,0.4204,-0.2732,0.8877
35586,0.4204,-0.2728,0.8876
35609,0.4204,-0.2726,0.8876
35635,0.4204,-0.2723,0.8876
35654,0.4204,-0.2721,0.8876
35677,0.4204,-0.2720,0.8875
35709,0.4205,-0.2719,0.8875
35732,0.4205,-0.2717,0.8875
35749,0.4207,-0.2716,0.8875
35771,0.4207,-0.2716,0.8875
35794,0.4207,-0.2716,0.8873
35811,0.4207,-0.2716,0.8873
35828,0.4207,-0.2716,0.8873
35847,0.4207,-0.2717,0.8873
35918,0.4208,-0.2719,0.8872
35938,0.4208,-0.2720,0.8872
35961,0.4208,-0.2720,0.8872
35983,0.4209,-0.2722,0.8871
36000,0.4209,-0.2722,0.8870
36020,0.4209,-0.2723,0.8870
36042,0.4209,-0.2725,0.8868
36100,0.4209,-0.2729,0.8866
36131,0.4209,-0.2732,0.8866
36148,0.4209,-0.2734,0.8866
36170,0.4209,-0.2736,0.8866
36192,0.4208,-0.2738,0.8866
36209,0.4208,-0.2743,0.8866
36231,0.4208,-0.2747,0.8867
36248,0.4208,-0.2749,0.8867
36289,0.4208,-0.2755,0.8868
36312,0.4208,-0.2760,0.8870
36329,0.4208,-0.2761,0.8870
36352,0.4208,-0.2762,0.8870
36374,0.4208,-0.2764,0.8871
36391,0.4208,-0.2762,0.8872
36413,0.4208,-0.2762,0.8873
36438,0.4208,-0.2760,0.8873
36482,0.4208,-0.2754,0.8876
36505,0.4208,-0.2751,0.8876
36522,0.4208,-0.2747,0.8877
36544,0.4208,-0.2743,0.8877
36567,0.4208,-0.2740,0.8877
36584,0.4208,-0.2738,0.8877
36606,0.4209,-0.2733,0.8876
36629,0.4209,-0.2732,0.8875
36652,0.4209,-0.2729,0.8875
36669,0.4209,-0.2727,0.8873
36691,0.4210,-0.2725,0.8872
36732,0.4210,-0.2722,0.8871
36753,0.4211,-0.2721,0.8870
36781,0.4211,-0.2720,0.8868
36804,0.4210,-0.2720,0.8868
36827,0.4210,-0.2720,0.8868
36849,0.4210,-0.2720,0.8868
36866,0.4210,-0.2720,0.8868
36888,0.4209,-0.2720,0.8870
36938,0.4209,-0.2720,0.8871
36963,0.4208,-0.2720,0.8872
36985,0.4208,-0.2721,0.8873
37002,0.4207,-0.2721,0.8875
37028,0.4207,-0.2721,0.8875
37054,0.4207,-0.2722,0.8876
37077,0.4207,-0.2722,0.8876
37122,0.4207,-0.2725,0.8877
37145,0.4207,-0.2725,0.8876
37162,0.4207,-0.2727,0.8876
37183,0.4208,-0.2731,0.8876
37206,0.4208,-0.2732,0.8875
37223,0.4208,-0.2736,0.8875
37245,0.4208,-0.2738,0.8873
37267,0.4209,-0.2744,0.8873
37303,0.4209,-0.2749,0.8872
37326,0.4209,-0.2751,0.8872
37343,0.4209,-0.2754,0.8871
37363,0.4209,-0.2756,0.8871
37386,0.4209,-0.2756,0.8871
37410,0.4209,-0.2756,0.8871
37432,0.4209,-0.2755,0.8871
37455,0.4209,-0.2754,0.8871
37472,0.4209,-0.2751,0.8871
37489,0.4209,-0.2749,0.8871
37511,0.4208,-0.2744,0.8871
37559,0.4207,-0.2734,0.8871
37581,0.4207,-0.2731,0.8871
37598,0.4207,-0.2728,0.8871
37621,0.4205,-0.2726,0.8871
37643,0.4205,-0.2721,0.8871
37669,0.4204,-0.2720,0.8872
37692,0.4204,-0.2717,0.8872
37715,0.4204,-0.2716,0.8873
37747,0.4203,-0.2716,0.8875
37770,0.4203,-0.2716,0.8875
37787,0.4203,-0.2716,0.8875
37809,0.4203,-0.2719,0.8876
37832,0.4203,-0.2721,0.8876
37849,0.4203,-0.2722,0.8876
37871,0.4203,-0.2726,0.8877
37888,0.4203,-0.2727,0.8877
37952,0.4203,-0.2731,0.8876
37975,0.4203,-0.2732,0.8876
37998,0.4203,-0.2732,0.8875
38019,0.4204,-0.2732,0.8875
38040,0.4204,-0.2731,0.8875
38062,0.4204,-0.2731,0.8873
38081,0.4204,-0.2731,0.8873
38098,0.4204,-0.2729,0.8873
38145,0.4204,-0.2728,0.8873
38169,0.4205,-0.2728,0.8873
38190,0.4205,-0.2728,0.8873
38213,0.4205,-0.2729,0.8873
38237,0.4207,-0.2732,0.8873
38260,0.4207,-0.2734,0.8873
38278,0.4207,-0.2737,0.8873
38296,0.4208,-0.2738,0.8873
38329,0.4208,-0.2743,0.8873
38352,0.4209,-0.2747,0.8873
38369,0.4209,-0.2748,0.8873
38392,0.4210,-0.2749,0.8873
38414,0.4210,-0.2750,0.8872
38431,0.4211,-0.2751,0.8872
38453,0.4211,-0.2751,0.8872
38476,0.4211,-0.2750,0.8871
38493,0.4211,-0.2750,0.8871
38510,0.4211,-0.2749,0.8871
38532,0.4211,-0.2747,0.8870
38581,0.4210,-0.2740,0.8870
38605,0.4209,-0.2738,0.8870
38622,0.4209,-0.2736,0.8870
38644,0.4208,-0.2734,0.8870
38666,0.4207,-0.2729,0.8870
38683,0.4207,-0.2728,0.8870
38707,0.4205,-0.2727,0.8870
38729,0.4204,-0.2725,0.8871
38770,0.4204,-0.2723,0.8872
38797,0.4203,-0.2723,0.8873
38819,0.4203,-0.2723,0.8873
38842,0.4203,-0.2725,0.8875
38864,0.4203,-0.2725,0.8876
38881,0.4203,-0.2726,0.8876
38906,0.4203,-0.2726,0.8876
38924,0.4203,-0.2728,0.8877
38988,0.4204,-0.2729,0.8877
39014,0.4205,-0.2729,0.8877
39034,0.4205,-0.2729,0.8876
39055,0.4207,-0.2729,0.8876
39076,0.4208,-0.2729,0.8876
39099,0.4208,-0.2729,0.8875
39123,0.4209,-0.2729,0.8873
39179,0.4210,-0.2731,0.8872
39213,0.4210,-0.2733,0.8872
39235,0.4210,-0.2734,0.8871
39257,0.4210,-0.2738,0.8871
39274,0.4210,-0.2739,0.8870
39297,0.4210,-0.2742,0.8870
39319,0.4210,-0.2745,0.8870
39355,0.4210,-0.2748,0.8870
39378,0.4210,-0.2749,0.8870
39395,0.4210,-0.2750,0.8870
39417,0.4210,-0.2750,0.8870
39439,0.4210,-0.2750,0.8871
39456,0.4210,-0.2750,0.8871
39479,0.4210,-0.2749,0.8871
39501,0.4210,-0.2747,0.8872
39519,0.4210,-0.2745,0.8872
39538,0.4210,-0.2744,0.8873
39561,0.4210,-0.2742,0.8873
39583,0.4210,-0.2737,0.8873
39617,0.4210,-0.2733,0.8873
39640,0.4210,-0.2731,0.8873
39664,0.4210,-0.2729,0.8873
39686,0.4210,-0.2726,0.8875
39709,0.4210,-0.2725,0.8875
39726,0.4210,-0.2723,0.8875
39743,0.4210,-0.2722,0.8875
39765,0.4210,-0.2720,0.8875
39806,0.4210,-0.2719,0.8875
39827,0.4209,-0.2719,0.8876
39844,0.4209,-0.2719,0.8876
39866,0.4209,-0.2719,0.8876
39889,0.4208,-0.2720,0.8876
39906,0.4208,-0.2720,0.8876
39928,0.4208,-0.2722,0.8876
39945,0.4208,-0.2722,0.8876
40009,0.4207,-0.2725,0.8876
40031,0.4207,-0.2726,0.8876
40053,0.4207,-0.2727,0.8876
40073,0.4207,-0.2727,0.8876
40097,0.4207,-0.2727,0.8875
40131,0.4208,-0.2728,0.8875
40148,0.4208,-0.2728,0.8875
40201,0.4208,-0.2732,0.8875
40228,0.4209,-0.2734,0.8876
40250,0.4209,-0.2737,0.8876
40272,0.4209,-0.2738,0.8876
40289,0.4209,-0.2740,0.8876
40311,0.4209,-0.2744,0.8876
40334,0.4209,-0.2747,0.8876
40377,0.4209,-0.2749,0.8877
40400,0.4209,-0.2750,0.8877
40417,0.4208,-0.2750,0.8877
40437,0.4208,-0.2750,0.8877
40459,0.4208,-0.2749,0.8877
40484,0.4207,-0.2748,0.8877
40506,0.4207,-0.2745,0.8877
40529,0.4205,-0.2743,0.8877
40546,0.4205,-0.2742,0.8878
40563,0.4205,-0.2739,0.8878
40585,0.4204,-0.2738,0.8878
40632,0.4203,-0.2731,0.8879
40655,0.4203,-0.2727,0.8881
40672,0.4203,-0.2725,0.8881
40695,0.4203,-0.2722,0.8881
40717,0.4203,-0.2721,0.8881
40745,0.4203,-0.2717,0.8881
40762,0.4203,-0.2716,0.8881
40784,0.4203,-0.2714,0.8881
40836,0.4204,-0.2714,0.8879
40859,0.4204,-0.2714,0.8879
40881,0.4204,-0.2715,0.8878
40903,0.4205,-0.2717,0.8877
40926,0.4205,-0.2719,0.8877
40943,0.4205,-0.2720,0.8876
40968,0.4205,-0.2723,0.8875
40991,0.4205,-0.2726,0.8875
41047,0.4205,-0.2731,0.8875
41068,0.4205,-0.2732,0.8875
41089,0.4205,-0.2732,0.8875
41109,0.4205,-0.2732,0.8876
41132,0.4205,-0.2732,0.8876
41155,0.4205,-0.2732,0.8877
41172,0.4205,-0.2733,0.8877
41232,0.4205,-0.2736,0.8878
41255,0.4205,-0.2736,0.8878
41278,0.4205,-0.2738,0.8878
