BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp
010,0.00,0.00,0.0,49:59.1,0.17,0.0,1,31.9783844,120.9092114,2026-03-01 03:01:15.124
010,2.80,2.80,2.1,87:45.2,0.09,28.6,2,31.9783592,120.9092114,2026-03-01 03:01:18.683
010,1.94,4.74,5.7,75:29.4,0.11,16.7,3,31.9783418,120.9092120,2026-03-01 03:01:21.890
010,4.93,9.67,12.0,81:12.0,0.10,9.5,4,31.9782975,120.9092133,2026-03-01 03:01:28.965
010,2.30,11.97,16.0,84:38.6,0.10,14.9,5,31.9782768,120.9092138,2026-03-01 03:01:32.075
010,1.38,13.35,19.7,19:58.1,0.42,16.3,6,31.9782644,120.9092141,2026-03-01 03:01:34.262
010,2.35,15.70,21.8,18:44.4,0.44,28.5,7,31.9782433,120.9092141,2026-03-01 03:01:36.609
010,3.01,18.71,24.3,06:31.4,1.28,24.2,8,31.9782162,120.9092138,2026-03-01 03:01:38.887
010,11.97,30.68,31.4,04:58.5,1.68,8.4,9,31.9781182,120.9092663,2026-03-01 03:01:47.954
010,5.68,36.36,36.4,10:43.9,0.78,12.0,10,31.9780990,120.9093221,2026-03-01 03:01:51.665
010,6.34,42.70,39.3,08:36.3,0.97,20.8,11,31.9780680,120.9093785,2026-03-01 03:01:54.990
010,5.46,48.16,42.7,07:42.7,1.08,17.7,12,31.9780265,120.9094094,2026-03-01 03:01:57.784
010,4.56,52.72,45.4,31:41.8,0.26,21.8,13,31.9779866,120.9094205,2026-03-01 03:02:00.599
010,0.37,53.09,52.7,37:47.3,0.22,8.3,14,31.9779837,120.9094185,2026-03-01 03:02:10.037
010,0.46,53.55,58.6,17:24.9,0.48,10.2,15,31.9779868,120.9094218,2026-03-01 03:02:13.265
010,0.69,54.24,60.2,10:11.3,0.82,35.6,16,31.9779912,120.9094270,2026-03-01 03:02:15.547
010,5.95,60.19,66.4,15:16.6,0.55,9.7,17,31.9780103,120.9094859,2026-03-01 03:02:20.404
010,3.77,63.96,69.0,07:39.3,1.09,23.0,18,31.9780235,120.9095227,2026-03-01 03:02:25.512
010,7.74,71.70,75.8,36:04.3,0.23,8.9,19,31.9780593,120.9095931,2026-03-01 03:02:30.738
010,0.80,72.50,79.1,22:07.5,0.38,18.2,20,31.9780588,120.9096016,2026-03-01 03:02:33.329
010,1.25,73.75,82.3,28:31.4,0.29,19.0,21,31.9780512,120.9096113,2026-03-01 03:02:37.554
