BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp
010,0.00,0.00,0.0,110:36.7,0.08,0.0,1,31.9780055,120.9095651,2026-03-01 03:46:01.529
010,0.57,0.57,5.6,10:54.7,0.76,10.8,2,31.9780004,120.9095655,2026-03-01 03:46:07.106
010,0.52,1.09,7.9,12:30.7,0.67,25.6,3,31.9779958,120.9095663,2026-03-01 03:46:09.450
010,1.37,2.46,10.4,09:32.9,0.87,24.5,4,31.9779837,120.9095690,2026-03-01 03:46:11.896
010,1.24,3.70,13.5,34:59.2,0.24,19.4,5,31.9779728,120.9095719,2026-03-01 03:46:14.987
010,3.00,6.70,16.8,08:39.5,0.96,18.2,6,31.9779462,120.9095773,2026-03-01 03:46:18.283
010,1.17,7.87,20.0,15:23.6,0.54,18.3,7,31.9779359,120.9095798,2026-03-01 03:46:21.562
010,2.39,10.26,23.3,12:44.4,0.65,18.5,8,31.9779146,120.9095833,2026-03-01 03:46:24.803
010,2.13,12.39,26.4,10:38.4,0.78,19.0,9,31.9778956,120.9095862,2026-03-01 03:46:27.963
010,1.73,14.12,29.0,13:39.3,0.61,23.7,10,31.9778801,120.9095878,2026-03-01 03:46:30.499
010,1.94,16.06,31.5,10:25.3,0.80,23.4,11,31.9778627,120.9095895,2026-03-01 03:46:33.058
010,2.37,18.43,33.7,09:09.4,0.91,27.6,12,31.9778414,120.9095910,2026-03-01 03:46:35.235
010,1.69,20.12,36.5,12:57.4,0.64,21.2,13,31.9778262,120.9095917,2026-03-01 03:46:38.067
010,1.55,21.67,38.9,13:32.1,0.62,25.8,14,31.9778123,120.9095920,2026-03-01 03:46:40.396
010,1.78,23.45,41.7,13:14.9,0.63,21.2,15,31.9777963,120.9095922,2026-03-01 03:46:43.226
