StrokeCount,Timestamp,ElapsedTime,StrokeRate,Speed(m/s),Pace_Record,500/Speed_calc,Pace_OK,TS_Diff(s),ET_Diff(s),60/SR(s),Time_OK
1,15:58:21.639,0.0,0.0,0.24,34:43.3,34:43.3,OK,-,-,-,-
2,15:58:31.359,9.7,6.2,0.05,--,--,OK,9.720,9.7,9.677,OK
3,15:58:35.862,14.2,13.3,0.64,13:01.3,13:01.3,OK,4.503,4.5,4.511,OK
4,15:58:40.200,18.6,13.8,1.90,04:23.2,04:23.2,OK,4.338,4.4,4.348,OK
5,15:58:40.861,19.2,90.8,0.67,12:26.3,12:26.3,OK,0.661,0.6,0.661,OK
6,15:58:43.711,22.1,21.1,0.15,55:33.3,55:33.3,OK,2.850,2.9,2.844,OK
7,15:58:46.452,24.8,21.9,0.40,20:50.0,20:50.0,OK,2.741,2.7,2.740,OK
8,15:58:51.660,30.0,11.5,0.65,12:49.2,12:49.2,OK,5.208,5.2,5.217,OK
9,15:58:52.991,31.4,45.1,0.55,15:09.1,15:09.1,OK,1.331,1.4,1.330,OK
10,15:58:55.193,33.6,27.2,0.64,13:01.3,13:01.3,OK,2.202,2.2,2.206,OK
11,15:58:56.577,34.9,43.4,1.18,07:03.7,07:03.7,OK,1.384,1.3,1.382,OK
12,15:58:57.943,36.3,43.9,1.17,07:07.4,07:07.4,OK,1.366,1.4,1.366,OK
13,15:58:59.343,37.7,42.9,1.21,06:53.2,06:53.2,OK,1.400,1.4,1.399,OK
14,15:59:00.512,38.9,51.3,1.23,06:46.5,06:46.5,OK,1.169,1.2,1.170,OK
15,15:59:01.867,40.2,44.3,1.19,07:00.2,07:00.2,OK,1.355,1.3,1.355,OK
16,15:59:03.187,41.5,45.5,1.07,07:47.3,07:47.3,OK,1.320,1.3,1.319,OK
17,15:59:04.475,42.8,46.6,1.17,07:07.4,07:07.4,OK,1.288,1.3,1.287,OK
18,15:59:05.625,44.0,52.2,1.15,07:14.8,07:14.8,OK,1.150,1.2,1.149,OK
19,15:59:07.186,45.5,38.4,0.95,08:46.3,08:46.3,OK,1.561,1.5,1.563,OK
20,15:59:08.546,46.9,44.1,1.07,07:47.3,07:47.3,OK,1.360,1.4,1.360,OK
21,15:59:09.483,47.8,64.0,0.70,11:54.3,11:54.3,OK,0.937,0.9,0.938,OK
22,15:59:10.736,49.1,47.9,0.63,13:13.7,13:13.7,OK,1.253,1.3,1.252,OK
23,15:59:12.618,51.0,31.9,0.65,12:49.2,12:49.2,OK,1.882,1.9,1.882,OK
24,15:59:14.614,53.0,30.1,0.87,09:34.7,09:34.7,OK,1.996,2.0,1.993,OK
25,15:59:16.150,54.5,39.1,0.82,10:09.8,10:09.8,OK,1.536,1.5,1.534,OK
26,15:59:17.088,55.5,64.0,1.13,07:22.5,07:22.5,OK,0.938,1.0,0.938,OK
27,15:59:18.343,56.7,47.8,0.86,09:41.4,09:41.4,OK,1.255,1.2,1.255,OK
28,15:59:19.443,57.8,54.5,0.82,10:09.8,10:09.8,OK,1.100,1.1,1.101,OK
29,15:59:22.711,61.1,18.4,0.96,08:40.8,08:40.8,OK,3.268,3.3,3.261,OK
30,15:59:25.337,63.7,22.8,0.84,09:55.2,09:55.2,OK,2.626,2.6,2.632,OK
31,15:59:27.989,66.4,22.6,1.03,08:05.4,08:05.4,OK,2.652,2.7,2.655,OK
32,15:59:28.653,67.0,90.4,0.81,10:17.3,10:17.3,OK,0.664,0.6,0.664,OK
33,15:59:31.486,69.8,21.2,1.00,08:20.0,08:20.0,OK,2.833,2.8,2.830,OK
34,15:59:32.252,70.6,78.3,0.72,11:34.4,11:34.4,OK,0.766,0.8,0.766,OK
35,15:59:35.597,74.0,17.9,1.05,07:56.2,07:56.2,OK,3.345,3.4,3.352,OK
36,15:59:37.579,75.9,30.3,1.22,06:49.8,06:49.8,OK,1.982,1.9,1.980,OK
37,15:59:40.028,78.4,24.5,1.29,06:27.6,06:27.6,OK,2.449,2.5,2.449,OK
38,15:59:42.888,81.3,21.0,1.14,07:18.6,07:18.6,OK,2.860,2.9,2.857,OK
39,15:59:45.528,83.9,22.7,0.79,10:32.9,10:32.9,OK,2.640,2.6,2.643,OK
40,15:59:46.048,84.4,115.4,1.10,07:34.5,07:34.5,OK,0.520,0.5,0.520,OK
41,15:59:47.056,85.4,59.5,0.77,10:49.4,10:49.4,OK,1.008,1.0,1.008,OK
42,15:59:49.817,88.2,21.7,0.76,10:57.9,10:57.9,OK,2.761,2.8,2.765,OK
43,15:59:52.362,90.7,23.6,0.73,11:24.9,11:24.9,OK,2.545,2.5,2.542,OK
