Session Information:

BoatCode:,010
Start Time:,2026-03-04 16:42:24.275


Per-Stroke Data:

BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp
010,0.00,0.00,0.001,17:21.7,0.48,0.0,1,31.9778806,120.9097827,2026-03-04 16:42:36.856
010,2.59,2.59,2.724,25:15.2,0.33,22.0,2,31.9778672,120.9098052,2026-03-04 16:42:39.579
010,1.92,4.51,5.492,34:43.3,0.24,21.7,3,31.9778697,120.9098253,2026-03-04 16:42:42.347
010,5.75,10.26,7.728,10:41.0,0.78,26.8,4,31.9779136,120.9098576,2026-03-04 16:42:44.583
010,1.77,12.03,9.613,11:44.2,0.71,31.8,5,31.9779169,120.9098760,2026-03-04 16:42:46.468
010,2.09,14.12,11.771,10:02.4,0.83,27.8,6,31.9779198,120.9098979,2026-03-04 16:42:48.626
010,2.19,16.31,13.857,08:46.3,0.95,28.8,7,31.9779228,120.9099208,2026-03-04 16:42:50.712
010,2.21,18.52,17.074,08:05.4,1.03,18.7,8,31.9779256,120.9099440,2026-03-04 16:42:53.929
010,2.45,20.97,19.074,08:10.2,1.02,30.0,9,31.9779280,120.9099698,2026-03-04 16:42:55.929
010,2.49,23.46,20.194,09:15.6,0.90,53.6,10,31.9779315,120.9099959,2026-03-04 16:42:57.049
010,2.11,25.57,23.099,09:09.5,0.91,20.7,11,31.9779348,120.9100179,2026-03-04 16:42:59.954
010,2.44,28.01,24.402,08:57.6,0.93,46.0,12,31.9779383,120.9100434,2026-03-04 16:43:01.257
010,1.95,29.96,26.321,08:51.9,0.94,31.3,13,31.9779408,120.9100639,2026-03-04 16:43:03.176
010,2.78,32.74,28.463,09:41.4,0.86,28.0,14,31.9779445,120.9100931,2026-03-04 16:43:05.318
010,2.60,35.34,30.649,09:21.8,0.89,27.4,15,31.9779473,120.9101205,2026-03-04 16:43:07.504
010,1.84,37.18,33.225,13:26.5,0.62,23.3,16,31.9779358,120.9101345,2026-03-04 16:43:10.080
010,1.23,38.41,34.387,10:49.4,0.77,51.6,17,31.9779330,120.9101219,2026-03-04 16:43:11.242
010,0.77,39.18,35.372,10:17.3,0.81,60.9,18,31.9779333,120.9101137,2026-03-04 16:43:12.227
010,2.50,41.68,37.442,07:47.3,1.07,29.0,19,31.9779354,120.9100873,2026-03-04 16:43:14.297
010,1.50,43.18,39.215,08:10.2,1.02,33.8,20,31.9779361,120.9100714,2026-03-04 16:43:16.070
010,2.62,45.80,41.919,08:35.5,0.97,22.2,21,31.9779341,120.9100437,2026-03-04 16:43:18.774
010,1.18,46.98,43.018,07:47.3,1.07,54.6,22,31.9779343,120.9100312,2026-03-04 16:43:19.873
010,0.94,47.92,43.019,08:46.3,0.95,65.1,23,31.9779337,120.9100213,2026-03-04 16:43:19.874
010,2.09,50.01,44.537,10:49.4,0.77,39.5,24,31.9779308,120.9099994,2026-03-04 16:43:21.392
010,2.21,52.22,46.546,08:15.0,1.01,29.9,25,31.9779289,120.9099761,2026-03-04 16:43:23.401
010,1.91,54.13,48.378,07:26.4,1.12,32.8,26,31.9779263,120.9099561,2026-03-04 16:43:25.233
010,2.91,57.04,50.418,08:25.1,0.99,29.4,27,31.9779233,120.9099254,2026-03-04 16:43:27.273
010,2.56,59.60,52.605,08:20.0,1.00,27.4,28,31.9779188,120.9098988,2026-03-04 16:43:29.460
010,2.71,62.31,54.715,07:43.0,1.08,28.4,29,31.9779146,120.9098705,2026-03-04 16:43:31.570
010,2.28,64.59,56.814,07:03.7,1.18,28.6,30,31.9779129,120.9098464,2026-03-04 16:43:33.669
010,1.86,66.45,59.134,06:07.6,1.36,25.9,31,31.9779124,120.9098267,2026-03-04 16:43:35.989
010,0.89,67.34,59.288,07:30.5,1.11,389.6,32,31.9779141,120.9098175,2026-03-04 16:43:36.143


Session Summary:

TotalDistance(m),TotalElapsedTime,AvgPace(/500m),AvgSpeed(m/s),AvgStrokeRate(spm),TotalStrokes,AvgStrokeLength(m),StartLat,StartLon,EndLat,EndLon
67.34,00:01:01.2,08:45.5,0.95,29.1,32,2.10,31.9778806,120.9097827,31.9779216,120.9098008
