Session Information:

BoatCode:,010
Start Time:,2026-03-04 21:32:39.301


Per-Stroke Data:

BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp,ET_Diff(s),TS_Diff(s),60/StrokeRate(s)
010,0.00,0.00,0.002,--,0.00,0.0,1,0.0000000,0.0000000,2026-03-04 21:32:46.151,-,-,-
010,0.00,0.00,3.146,--,0.00,19.1,2,0.0000000,0.0000000,2026-03-04 21:32:49.295,3.144,3.144,3.144
010,0.00,0.00,6.016,--,0.00,20.9,3,0.0000000,0.0000000,2026-03-04 21:32:52.165,2.870,2.870,2.870
010,0.00,0.00,9.693,--,0.00,16.3,4,0.0000000,0.0000000,2026-03-04 21:32:55.842,3.677,3.677,3.677
010,0.00,0.00,11.142,--,0.00,41.4,5,0.0000000,0.0000000,2026-03-04 21:32:57.291,1.449,1.449,1.449
010,0.00,0.00,14.610,--,0.00,17.3,6,0.0000000,0.0000000,2026-03-04 21:33:00.759,3.468,3.468,3.468
010,0.00,0.00,15.944,--,0.00,45.0,7,0.0000000,0.0000000,2026-03-04 21:33:02.093,1.334,1.334,1.334
010,0.00,0.00,19.714,--,0.00,15.9,8,0.0000000,0.0000000,2026-03-04 21:33:05.863,3.770,3.770,3.770
010,0.00,0.00,21.211,--,0.00,40.1,9,0.0000000,0.0000000,2026-03-04 21:33:07.360,1.497,1.497,1.497
010,0.00,0.00,23.891,--,0.00,22.4,10,0.0000000,0.0000000,2026-03-04 21:33:10.040,2.680,2.680,2.680
010,0.00,0.00,26.147,--,0.00,26.6,11,0.0000000,0.0000000,2026-03-04 21:33:12.296,2.256,2.256,2.256
010,0.00,0.00,29.448,--,0.00,18.2,12,0.0000000,0.0000000,2026-03-04 21:33:15.597,3.301,3.301,3.301
010,0.00,0.00,31.130,--,0.00,35.7,13,0.0000000,0.0000000,2026-03-04 21:33:17.279,1.682,1.682,1.682
010,0.00,0.00,34.824,--,0.00,16.2,14,0.0000000,0.0000000,2026-03-04 21:33:20.973,3.694,3.694,3.694
010,0.00,0.00,36.217,--,0.00,43.1,15,0.0000000,0.0000000,2026-03-04 21:33:22.366,1.393,1.393,1.393
010,0.00,0.00,39.679,--,0.00,17.3,16,0.0000000,0.0000000,2026-03-04 21:33:25.828,3.462,3.462,3.462
010,0.00,0.00,41.159,--,0.00,40.5,17,0.0000000,0.0000000,2026-03-04 21:33:27.308,1.480,1.480,1.480
010,0.00,0.00,44.630,--,0.00,17.3,18,0.0000000,0.0000000,2026-03-04 21:33:30.779,3.471,3.471,3.471
010,0.00,0.00,46.175,--,0.00,38.8,19,0.0000000,0.0000000,2026-03-04 21:33:32.324,1.545,1.545,1.545
010,0.00,0.00,49.415,--,0.00,18.5,20,0.0000000,0.0000000,2026-03-04 21:33:35.564,3.240,3.240,3.240
010,0.00,0.00,51.515,--,0.00,28.6,21,0.0000000,0.0000000,2026-03-04 21:33:37.664,2.100,2.100,2.100


Session Summary:

TotalDistance(m),TotalElapsedTime,AvgPace(/500m),AvgSpeed(m/s),AvgStrokeRate(spm),TotalStrokes,AvgStrokeLength(m),StartLat,StartLon,EndLat,EndLon
0.00,00:00:50.9,--,0.00,22.8,21,0.00,0.0000000,0.0000000,0.0000000,0.0000000
