boat_code,stroke_length_m,total_distance_m,elapsed_seconds,pace_per_500m,speed_mps,stroke_rate_spm,stroke_count,lat,lon,timestamp
01,0.00,0.00,0.0,84:33.7,0.10,0.0,1,31.9762413,120.8772066,2026-02-06 22:32:39.626
01,0.01,0.01,1.6,66:25.7,0.13,38.3,2,31.9762413,120.8772067,2026-02-06 22:32:41.192
01,0.01,0.02,3.0,72:03.2,0.12,39.7,3,31.9762413,120.8772068,2026-02-06 22:32:42.591
01,0.02,0.04,4.2,93:49.0,0.09,42.8,4,31.9762413,120.8772066,2026-02-06 22:32:43.789
01,0.01,0.05,5.4,154:26.4,0.05,44.4,5,31.9762413,120.8772067,2026-02-06 22:32:45.038
01,0.01,0.06,6.6,140:28.5,0.06,46.1,6,31.9762413,120.8772066,2026-02-06 22:32:46.236
01,0.02,0.08,7.9,--,0.05,46.0,7,31.9762413,120.8772068,2026-02-06 22:32:47.542
01,0.01,0.09,10.0,--,0.02,40.8,8,31.9762412,120.8772068,2026-02-06 22:32:49.648
01,0.03,0.12,11.4,--,0.03,41.5,9,31.9762414,120.8772066,2026-02-06 22:32:51.041
01,0.01,0.13,12.7,148:50.3,0.06,43.2,10,31.9762413,120.8772066,2026-02-06 22:32:52.307
01,0.01,0.14,14.0,97:39.9,0.09,43.6,11,31.9762414,120.8772066,2026-02-06 22:32:53.656
01,0.05,0.19,15.3,44:51.6,0.19,45.0,12,31.9762410,120.8772064,2026-02-06 22:32:54.897
01,0.05,0.24,16.6,95:52.6,0.09,44.8,13,31.9762414,120.8772062,2026-02-06 22:32:56.251
01,0.03,0.27,18.0,34:10.6,0.24,44.1,14,31.9762413,120.8772065,2026-02-06 22:32:57.669
01,0.03,0.30,19.2,89:18.4,0.09,46.3,15,31.9762416,120.8772064,2026-02-06 22:32:58.833
